State,PVI
Alabama,-13
Alaska,-13
Arizona,-6 
Arkansas,-9 
California,-7 
Colorado,0
Connecticut,7 
Delaware,7 
District of Columbia,39
Florida,-2 
Georgia,7 
Hawaii,12
Idaho,-17
Illinois,8 
Indiana,-6 
Iowa,1 
Kansas,-12
Kentucky,-10
Louisiana,-10
Maine,5 
Maryland,9 
Massachusetts,12
Michigan,4 
Minnesota,2 
Mississippi,-10
Missouri,-3 
Montana,-7 
Nebraska,-13
Nevada,1 
New Hampshire,2 
New Jersey,4 
New Mexico,2 
New York,10
North Carolina,-4 
North Dakota,-10
Ohio,-1 
Oklahoma,-17
Oregon,4 
Pennsylvania,2 
Rhode Island,11
South Carolina,-8 
South Dakota,-9 
Tennessee,-9 
Texas,-10
Utah,-20
Vermont,13
Virginia,-2 
Washington,5 
West Virginia,-8 
Wisconsin,2 
Wyoming,-20
