Poll,Date,Sample,Bush,Kerry,Spread
Marist,11/1,0,49.0,50.0,1.0
GW/Battleground,11/1,0,50.0,46.0,-4.0
IBD/TIPP,11/1,0,50.1,48.0,-2.1000000000000014
CBS News,11/1,0,49.0,47.0,-2.0
Harris,11/1,0,49.0,48.0,-1.0
FOX News,10/31,0,46.0,48.0,2.0
Reuters/Zogby,10/31,0,48.0,47.0,-1.0
CNN/USA Today/Gallup,10/31,0,49.0,49.0,0.0
NBC/WSJ,10/31,0,48.0,47.0,-1.0
ABC/Wash Post,10/31,0,49.0,48.0,-1.0
ARG,10/30,0,48.0,48.0,0.0
CBS News/NY Times,10/30,0,49.0,46.0,-3.0
Pew Research,10/30,0,51.0,48.0,-3.0
Newsweek,10/29,0,50.0,44.0,-6.0
